City,Airport Code,Trip Distance (km),Total Distance (km)
Londonderry,BHD,7314.39,5.55152e+06
Birmingham,BHX,8521.85,5.56004e+06
Isle Of Man,IOM,8113.87,5.56815e+06
Golouchestershire,GLO,8208.95,5.57636e+06
Isle Of Man,IOM,8124.82,5.58449e+06
Manchester,MAN,8295.46,5.59278e+06
Newquai,NQY,8018.37,5.6008e+06
Duesseldorf,DUS,7483.98,5.60828e+06
Cardiff,CWL,7026.6,5.61531e+06
Barcelona,BCN,7122.35,5.62243e+06
Bristol,BRS,6928.43,5.62936e+06
Bodrum,BJV,6080.59,5.63544e+06
Liverpool,LPL,5297.63,5.64074e+06
Larnaca,LCA,6244.9,5.64699e+06
Bournemouth,LTN,4745.32,5.65173e+06
Palma de Mallorca,PMI,6807.09,5.65854e+06
Southampton,SOU,6659.13,5.6652e+06
Alderney,ACI,7588.29,5.67279e+06
Guernsey,GCI,7601.98,5.68039e+06
Jersey,JER,7583.29,5.68797e+06
Dublin,DUB,8058.81,5.69603e+06
Blackpool,BLK,8480.68,5.70451e+06
Dalaman,DLM,6355.13,5.71086e+06
Amsterdam,AMS,4483.78,5.71535e+06
Humberside,HUY,7210.44,5.72256e+06
Amsterdam,AMS,7410.28,5.72997e+06
Leeds,LBA,7307.85,5.73728e+06
Malta,MLA,6479.11,5.74376e+06
Toulouse,TLS,4817.54,5.74857e+06
Hawarden,CEG,7246.01,5.75582e+06
Bristol,BRS,7999.3,5.76382e+06
Newcastle,NCL,8028.86,5.77185e+06
Amsterdam,AMS,7640.31,5.77949e+06
Teesside,MME,7333.12,5.78682e+06
Amsterdam,AMS,7578.62,5.7944e+06
East Midlands,EMA,7224.59,5.80162e+06
Aberdeen,ABZ,8135.16,5.80976e+06
Kirkwall,KOI,8569.82,5.81833e+06
Sumburgh,LSI,8688.06,5.82702e+06
Aberdeen,ABZ,8486.03,5.8355e+06
Wick,WIC,8552.92,5.84406e+06
Aberdeen,ABZ,8590.14,5.85265e+06
Amsterdam,AMS,7839.39,5.86049e+06
Inverness,INV,7686.98,5.86817e+06
Amsterdam,AMS,8049.82,5.87622e+06
Glasgow,GLA,7605.4,5.88383e+06
Paphos,PFO,6704.98,5.89053e+06
Edinburgh,EDI,5415.21,5.89595e+06
Paphos,PFO,6595.82,5.90254e+06
Glasgow,GLA,5501.77,5.90805e+06
Islay,ILY,8725.33,5.91677e+06
Glasgow,GLA,8800.2,5.92557e+06
Malta,MLA,6980.64,5.93255e+06
Prestwick,PIK,6387.33,5.93894e+06
Malta,MLA,6960.48,5.9459e+06
Glasgow,GLA,6406.06,5.95231e+06
Benbecula,BEB,8889.68,5.9612e+06
Glasgow,GLA,9004.23,5.9702e+06
Calgary,YYC,14136.3,5.98434e+06
London,YXU,13843.8,5.99818e+06
Dundee,DND,7950.06,6.00613e+06
Exeter,STN,8072.43,6.0142e+06
Edinburgh,EDI,8219.84,6.02242e+06
Stornoway,SYY,8775.14,6.0312e+06
Glasgow,GLA,8942.61,6.04014e+06
Tiree,TRE,8805.79,6.04895e+06
Glasgow,GLA,8903.03,6.05785e+06
Malta,MLA,6980.64,6.06483e+06
Norwich,NWI,5612.03,6.07044e+06
Malta,MLA,6044.56,6.07649e+06
Larnaca,LCA,2379.28,6.07887e+06
Cairo,CAI,182.231,6.07905e+06
El Calafate,NBO,3636.68,6.08268e+06
Buenos Aires,AEP,2693.78,6.08538e+06
Rio Gallegos,RGL,2956.41,6.08833e+06
Mount Pleasant,MPN,1997.91,6.09033e+06
Punta Arenas,PUQ,1345.7,6.09168e+06
Rio Gallegos,RGL,2169.69,6.09385e+06
Ushuaia,USH,2089.83,6.09594e+06
